playlist_name,playlist_id,total_tracks,track_name,artist_name,album_name,track_id,genres
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Volcano Springs,"James Horner, Simon Franglen, James Horner, Simon Franglen",The Magnificent Seven (Original Motion Picture Soundtrack),3yxNgHKxT2ZQAr5hboHh8u,"orchestral soundtrack, soundtrack, british soundtrack"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Fallout,Lorne Balfe,Mission: Impossible - Fallout (Music from the Motion Picture),0llzwIl1LZHvOW2GIKJ3jQ,"soundtrack, orchestral soundtrack, british soundtrack, video game music, epicore"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Mission: Accomplished,Lorne Balfe,Mission: Impossible - Fallout (Music from the Motion Picture),6m9TO46YBQu3QYLSLs0Z4J,"soundtrack, orchestral soundtrack, british soundtrack, video game music, epicore"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Statues,Alexandre Desplat,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",2AFFaiIlripSpcTYZXNL7f,"orchestral soundtrack, french soundtrack, soundtrack"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Hedwig's Theme,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,1n8NKQRg8LVHy7oUhUgbFF,"orchestral soundtrack, soundtrack"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Main Titles - Fantastic Beasts and Where to Find Them Theme,James Newton Howard,Fantastic Beasts and Where to Find Them (Original Motion Picture Soundtrack) [Deluxe Edition],0NxX4nHODgzusB4PrM73oN,"orchestral soundtrack, soundtrack"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,"The Good, The Bad And The Ugly - 2004 Remaster",Ennio Morricone,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",1JSIWsJfxOji0FrxFcxdCK,"orchestral soundtrack, classic soundtrack, italian soundtrack, vintage italian soundtrack"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Triumphant Return,Alan Silvestri,Captain America: The First Avenger (Original Motion Picture Soundtrack),4GVS96YPDfYtu4oLkK7rp4,"orchestral soundtrack, soundtrack"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Captain America Main Titles,Alan Silvestri,Captain America: The First Avenger,6y8BWRP7CmQ1Zjy7D1f6BN,"orchestral soundtrack, soundtrack"
BGM,08ZHwvxQlZOQIp0aNQZl8h,536,Captain America,Alan Silvestri,Captain America: The First Avenger (Original Motion Picture Soundtrack),4861hMUdRmrJUAU2pZQPTx,"orchestral soundtrack, soundtrack"
