Track name,Artist name,Album,Playlist name,Song ID,Artist ID
Volcano Springs,James Horner,The Magnificent Seven (Original Motion Picture Soundtrack),BGM,3yxNgHKxT2ZQAr5hboHh8u,3PhL2Vdao2v8SS8AptuhAr
Fallout,Lorne Balfe,Mission: Impossible - Fallout (Music from the Motion Picture),BGM,0llzwIl1LZHvOW2GIKJ3jQ,6dU7gPN2BhEPfO5QHLt7es
Mission: Accomplished,Lorne Balfe,Mission: Impossible - Fallout (Music from the Motion Picture),BGM,6m9TO46YBQu3QYLSLs0Z4J,6dU7gPN2BhEPfO5QHLt7es
Statues,Alexandre Desplat,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",BGM,775OxWq9wfVzmVDS0n3zff,71jzN72g8qWMCMkWC5p1Z0
Hedwig's Theme,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,BGM,3x3jTk8siOiL3Cy6jkTYkR,3dRfiJ2650SZu6GbydcHNb
"The Good, The Bad And The Ugly - 2004 Remaster",Ennio Morricone,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",BGM,1JSIWsJfxOji0FrxFcxdCK,1nIUhcKHnK6iyumRyoV68C
Triumphant Return,Alan Silvestri,Captain America: The First Avenger (Original Motion Picture Soundtrack),BGM,6lDdSbI51CUs5KrcFWkv5e,0Xk15jHKly4c3AhPr5vjoA
Captain America Main Titles,Alan Silvestri,Captain America: The First Avenger,BGM,6y8BWRP7CmQ1Zjy7D1f6BN,0Xk15jHKly4c3AhPr5vjoA
Captain America,Alan Silvestri,Captain America: The First Avenger (Original Motion Picture Soundtrack),BGM,4V2s08BMEqJWIfa3PcNOpR,0Xk15jHKly4c3AhPr5vjoA
Lemurian Star,Henry Jackman,Captain America: The Winter Soldier (Original Motion Picture Soundtrack),BGM,2xlZOAKTWVEAhZTrubJVmT,5SEW04tNMMrOz7UFQJA6vz
The Smithsonian,Henry Jackman,Captain America: The Winter Soldier (Original Motion Picture Soundtrack),BGM,2xpVDnKE9kJkZJAGhlOtYI,5SEW04tNMMrOz7UFQJA6vz
Taking a Stand,Henry Jackman,Captain America: The Winter Soldier (Original Motion Picture Soundtrack),BGM,6r9gskUHqOtP5rivvZuyEy,5SEW04tNMMrOz7UFQJA6vz
Cap's Promise,Henry Jackman,Captain America: Civil War (Original Motion Picture Soundtrack),BGM,4k4Yl9HEYDOxinpULUKU0w,5SEW04tNMMrOz7UFQJA6vz
Lord Knows / Fighting Stronger,Meek Mill,CREED: Original Motion Picture Soundtrack,BGM,767T5vqvDToZ8LtqT8iZx9,20sxb77xiYeusSH8cVdatc
The Avengers,Alan Silvestri,The Avengers (Original Motion Picture Soundtrack),BGM,5SXsXjVJCWeJuf7FHvgBYR,0Xk15jHKly4c3AhPr5vjoA
"Marvel Studios Fanfare - From ""Thor: The Dark World""/Score",Brian Tyler,Thor: The Dark World (Original Motion Picture Soundtrack),BGM,0vPZjeaM0cfbxZJntcD4iy,109FvbnDVNag1UcJDVpFlr
What Heroes Do,Mark Mothersbaugh,Thor: Ragnarok (Original Motion Picture Soundtrack),BGM,6ksqO0S2mvvwpyMhVpVYFx,5sEDTHJJyDEWVFx99hGSIb
Arena Fight,Mark Mothersbaugh,Thor: Ragnarok (Original Motion Picture Soundtrack),BGM,0yUYxPdVRKEOvu0HEu9f7h,5sEDTHJJyDEWVFx99hGSIb
Ragnarok Suite,Mark Mothersbaugh,Thor: Ragnarok (Original Motion Picture Soundtrack),BGM,646yYgVW5sZWJloaGEW728,5sEDTHJJyDEWVFx99hGSIb
Sledgehammer,John Debney,Original Motion Picture Score Iron Man 2,BGM,7AQ4iA4dcgC2pL9eO9yef4,7mCsyzq823cXJ5puxUN3aJ
Can You Dig It (Iron Man 3 Main Titles),Brian Tyler,Iron Man 3 (Original Motion Picture Soundtrack),BGM,63toFNYr6cHaxMmhd2QmzQ,109FvbnDVNag1UcJDVpFlr
"Theme (from ""Spider Man"") [Original Television Series]",Michael Giacchino,Spider-Man: Homecoming (Original Motion Picture Soundtrack),BGM,1tzj2vY4twkNmZ5K3DUOPp,4kLvhMAuCloLxoP1aVM7Lr
Wakanda,Ludwig Gransson,Black Panther (Original Score),BGM,2mjbf9ZvCoYqTi0RZ2FTUJ,24eDfi2MSYo3A87hCcgpIL
Killmonger,Ludwig Gransson,Black Panther (Original Score),BGM,0w7yUSxpQV3a3HqlprOQUs,24eDfi2MSYo3A87hCcgpIL
Maximum Effort,Junkie XL,Deadpool (Original Motion Picture Soundtrack),BGM,7IHtp0iR2BBQ7T23ayIh5I,5svDnd8joFhbpbA3Ar0CfN
The Fastest Man Alive - Always Late,Blake Neely,The Flash: Original Television Soundtrack: Season 1,BGM,1SRQypk1i1ldvmLEYZvFIX,4UOzqO0jZUrTiTunfBw4tp
Birth Of The Flash,Blake Neely,The Flash: Original Television Soundtrack: Season 1,BGM,1h5xPktGwNBk9BOGkLqzoy,4UOzqO0jZUrTiTunfBw4tp
The Batman Theme,Danny Elfman,Batman (Original Motion Picture Score),BGM,50csT5Qb2qOF7lHdDQ1Sbx,5qBZETtyzfYnXOobDXbmcD
Is She With You?,Hans Zimmer,Batman v Superman: Dawn of Justice (Original Motion Picture Soundtrack),BGM,4BFBElI73LzkLOBru4TKVv,0YC192cP3KPCRWx8zr8MfZ
Theme from the Walking Dead,Bear McCreary,The Walking Dead (Original Television Soundtrack),BGM,2cji350vUbvxQ9QwyL5Nkp,2ifvIECHAlEgPMBuBOJ0lG
The Walking Dead Theme,Retrospectre,This Is Halloween!,BGM,5L29vlA3VNyne1qT8Uej7Q,1PEhXY2A5CxayuUzbbroUo
Jack Sparrow,Hans Zimmer,Pirates Of The Caribbean - Dead Man's Chest Original Soundtrack (English Version),BGM,4F0Gkz9CKx4oW9YEyykRJG,0YC192cP3KPCRWx8zr8MfZ
He's a Pirate,Klaus Badelt,Pirates Of The Caribbean Original Soundtrack,BGM,37g1RYWXZP7qPVWm62ffOz,03GruNQP8X25PCoWzdvIGZ
One Last Shot,Klaus Badelt,Pirates Of The Caribbean Original Soundtrack,BGM,00f5PRX5IZwqWQUYnHm39U,03GruNQP8X25PCoWzdvIGZ
Drink Up Me Hearties Yo Ho,Hans Zimmer,Pirates Of The Caribbean: At World's End Original Soundtrack,BGM,7a9aeLVkn7DIqFjbanKz0k,0YC192cP3KPCRWx8zr8MfZ
James Bond Theme (From Dr. No),John Barry Orchestra,Dr. No (original Motion Picture Soundtrack),BGM,2pLtOWENbtt4DMPVWqLMvO,73EAqhfDv83tyK0J4dcZcB
Second Chance,Blake Neely,The Flash: Original Television Soundtrack: Season 1,BGM,07GeAhrxLrkDGyCBBHZFJZ,4UOzqO0jZUrTiTunfBw4tp
Theme From Jurassic Park,John Williams,Jurassic Park,BGM,2TZbQZXOuR8osP2AK8yYMN,3dRfiJ2650SZu6GbydcHNb
Main Title Terminator 2 Theme - Remastered 2017,Brad Fiedel,Terminator 2: Judgment Day (Remastered 2017),BGM,2Q84nSfFAHtFNwZhAKH0Sa,4GcS4MPc2DtgpYCeghy88O
Stranger Things,Kyle Dixon & Michael Stein,"Stranger Things, Vol. 1 (A Netflix Original Series Soundtrack)",BGM,0kwuKfWntoGh0EWyYb7Mpf,00oL7zWxmWveTsKF7DnIRd
Test Drive - From How To Train Your Dragon Music From The Motion Picture,John Powell,How To Train Your Dragon (Music From The Motion Picture),BGM,2QTDuJIGKUjR7E2Q6KupIh,3EAHF3jdnHHdko5DBrhRUP
This Is Berk,John Powell,How To Train Your Dragon (Music From The Motion Picture),BGM,1g3Bc80hioYOSitxntNQYi,3EAHF3jdnHHdko5DBrhRUP
See You Tomorrow,John Powell,How To Train Your Dragon (Music From The Motion Picture),BGM,7D9Jhcu3r5UcVbqwKuZKsV,3EAHF3jdnHHdko5DBrhRUP
This Time For Sure,John Powell,How To Train Your Dragon (Music From The Motion Picture),BGM,4Xr81LWoKa6nAfOKy8eKB3,3EAHF3jdnHHdko5DBrhRUP
Astrid Goes For A Spin,John Powell,How To Train Your Dragon (Music From The Motion Picture),BGM,2QvHNNP2qKQn7mzqf5vDH3,3EAHF3jdnHHdko5DBrhRUP
Romantic Flight - From How To Train Your Dragon Music From The Motion Picture,John Powell,How To Train Your Dragon (Music From The Motion Picture),BGM,51v7yO07BdGgP6hv0OaDe2,3EAHF3jdnHHdko5DBrhRUP
Main Title,John Paesano,Daredevil,BGM,4t20umh0eSuYstasrSl2HV,3MhnTc9AODdRGMrtntEqIz
Jessica Jones Main Title,Sean Callery,Jessica Jones (Original Soundtrack),BGM,3CyFYCjPynnKTstb7EY0fT,1mSdzR53wTsiokwyE8BJkl
Theme,Adrian Younge,Luke Cage,BGM,0ldqqFB8HUQCxuAhGIwlQG,4aMeIY7MkJoZg7O91cmDDd
The Punisher Main Title,Tyler Bates,The Punisher (Original Soundtrack),BGM,0rSJtqCSAkhKORRpJlk7pL,75fIuwXxhZ1atNzWLMrgF0
The Punisher End Title,Tyler Bates,The Punisher (Original Soundtrack),BGM,36hulqUctn5aPjE0oOWpYh,75fIuwXxhZ1atNzWLMrgF0
Circle of Life,Carmen Twillie,The Lion King,BGM,0HU5JnVaKNTWf6GykV9Zn8,6O3ZB5Cz5CNT3wQWouKcNJ
Half Remembered Dream,Hans Zimmer,Inception (Music from the Motion Picture),BGM,7DU7DNVDZouvJ34tPcPxBj,0YC192cP3KPCRWx8zr8MfZ
One Simple Idea,Hans Zimmer,Inception (Music from the Motion Picture),BGM,3C12og48CWBrxVV2FK6Dhw,0YC192cP3KPCRWx8zr8MfZ
Waiting for a Train,Hans Zimmer,Inception (Music from the Motion Picture),BGM,3iR6S8t0mOLUZUAB77KgrP,0YC192cP3KPCRWx8zr8MfZ
Never an Absolution,James Horner,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,BGM,1YaJrC7OyN9S7OJRIUhDaU,3PhL2Vdao2v8SS8AptuhAr
A Life So Changed,James Horner,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,BGM,0TOCTs2yOsYK888X4U2gcq,3PhL2Vdao2v8SS8AptuhAr
"Unable to Stay, Unwilling to Leave",James Horner,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,BGM,6vBRCB0d88TdWcrYJgd3NZ,3PhL2Vdao2v8SS8AptuhAr
An Ocean of Memories,James Horner,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,BGM,3ZgCj7M0jObA19BxeFlv8f,3PhL2Vdao2v8SS8AptuhAr
"An Irish Party in Third Class (includes ""John Ryan's Polka"" and ""Blarney Pilgrim"")",Gaelic Storm,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,BGM,5yGibSzMqHj1tWJS8lvgtq,5dlzTgw97q5k5ws89Ww1UK
Totally Fine,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,10F9vRZJFsnB8KGesrzAPy,0Xk15jHKly4c3AhPr5vjoA
The How Works,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,6Avh70x5r1yRZsm6EGxv9F,0Xk15jHKly4c3AhPr5vjoA
One Shot,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,1yT8dOE9VJfZFcYuVCEEF8,0Xk15jHKly4c3AhPr5vjoA
In Plain Sight,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,0NSAeaSMYTB3xRI8sG64Gi,0Xk15jHKly4c3AhPr5vjoA
Whatever It Takes,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,35zhVX4ImcOIQOflv5Sg3B,0Xk15jHKly4c3AhPr5vjoA
Portals,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,0OVtnS3l4vThGxkdqCxN6K,0Xk15jHKly4c3AhPr5vjoA
You Did Good,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,34ZpUfJx6XvSvHQUgPbqSq,0Xk15jHKly4c3AhPr5vjoA
The Real Hero,Alan Silvestri,Avengers: Endgame (Original Motion Picture Soundtrack),BGM,3KHrXuByzDnDOaVR15rZH7,0Xk15jHKly4c3AhPr5vjoA
Harry Potter in 99 Seconds,Jon Cozart,Harry Potter in 99 Seconds,BGM,1xstOBjuUyPIzws5tj7eZs,0Y9K99X1XZqnD7IE1gO3gt
Caribbean Thunderstorm,Mother Nature Sound FX,Thunderstorms,BGM,0XhxyzxCoJ15QH3J4HnCfW,4lrOh2SR7H3guHky2lAYOk
This Is Me,Keala Settle,The Greatest Showman (Original Motion Picture Soundtrack),BGM,45aBsnKRWUzhwbcqOJLwfe,7HV2RI2qNug4EcQqLbCAKS
